evaluation_policy,split_strategy,task_family,task_head,folds_combined,seeds,ensemble_seed_count,n,r2,rmse,mae,huber_loss,source_result
random_5fold_3seed,random_5fold,NOEC,NOEC_Physiology,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,525,0.7841802047227959,0.8413452704708229,0.6200486379861838,0.3001894529179338,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Population,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,448,0.711866400177399,0.9628490398500932,0.6322902231541346,0.332336026429648,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,NOEC,NOEC_Reproduction,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,981,0.7937750510277115,0.7790280604969636,0.5579187219098543,0.2550154004413434,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,ECx,ECx_GeneticDamage,holdout,42;1042;2042,3,70,-0.0992502576652756,0.1762852698773133,0.1448099084897177,0.0155382481878585,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,ECx,ECx_Growth,holdout,42;1042;2042,3,252,0.7800837771383259,0.7871971543171747,0.5416481426643258,0.2393627158707789,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,ECx,ECx_Mortality,holdout,42;1042;2042,3,92,0.6295198307896794,1.0452348252131265,0.7211189631634661,0.3767015831960847,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,ECx,ECx_Physiology,holdout,42;1042;2042,3,24,0.8439819455498789,0.7151184007477795,0.4381663872254755,0.2176195312826704,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,ECx,ECx_Population,holdout,42;1042;2042,3,25,0.6445844727545775,0.7192745690198895,0.4651397195269628,0.2193270027349019,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,ECx,ECx_Reproduction,holdout,42;1042;2042,3,117,0.8986070676348504,0.6183141725519344,0.47235568679619,0.172240273294743,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Accumulation,holdout,42;1042;2042,3,47,0.6737078046872105,0.972240277754668,0.7547894424571503,0.3823689885495884,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Behavior,holdout,42;1042;2042,3,4,0.8423532263302425,0.908385344458696,0.7744307064568218,0.3907055300464737,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Biochemical,holdout,42;1042;2042,3,317,0.7563595567147703,0.952576690757785,0.645725295663856,0.3330262231744254,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Development,holdout,42;1042;2042,3,43,0.5782238070332278,1.1335811858898823,0.7821004840421808,0.4509532423332572,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_GeneticDamage,holdout,42;1042;2042,3,79,0.8922091796602549,0.7243124219619111,0.5562700849647,0.2365632106601893,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Growth,holdout,42;1042;2042,3,414,0.6942620030176277,0.9292694032798816,0.6483815329310414,0.3287908467783854,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,LOEC,LOEC_Injury,holdout,42;1042;2042,3,13,0.7706966189576899,1.0090546644217764,0.5866045899190265,0.3158444103058621,v1.2.16_random_split_3seed
